,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions
1373,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-10-06,28162,20336,    8855,    1891,89771,    5412,7826
1374,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-09-29,19307,18445,     604,    1805,84359,    6465,862
1375,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-09-22,18703,16640,   -3005,     755,77894,   -1899,2063
1376,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-09-15,21708,15885,   -3725,   -1118,79793,  -58697,5823
1377,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-09-08,25433,17003,   16355,   -7392,138490,    2291,8430
1378,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-09-01,9078,24395,    4392,  -21973,136199,   -7970,-15317
1379,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-08-25,4686,46368,   -4326,   -6069,144169,   -3898,-41682
1380,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-08-18,9012,52437,    5139,   -6134,148067,   -2737,-43425
1381,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-08-11,3873,58571,   -3690,    5300,150804,    8360,-54698
1382,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-08-04,7563,53271,    4433,   12217,142444,   26260,-45708
1383,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-07-28,3130,41054,   -2570,    3152,116184,    5861,-37924
1384,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-07-21,5700,37902,    3160,    2255,110323,    3166,-32202
1385,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-07-14,2540,35647,   -2841,     221,107157,   -4335,-33107
1386,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-07-07,5381,35426,     777,    1849,111492,    2711,-30045
1387,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-06-30,4604,33577,     779,     881,108781,   -4207,-28973
1388,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-06-23,3825,32696,   -7703,  -25579,112988,   -5914,-28871
1389,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-06-16,11528,58275,    3004,  -11044,118902,  -36069,-46747
1390,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-06-09,8524,69319,     402,    2990,154971,   23421,-60795
1391,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-06-02,8122,66329,    3511,   -1760,131550,    6960,-58207
1392,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-05-26,4611,68089,     893,   10945,124590,    3698,-63478
1393,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-05-19,3718,57144,     446,   21950,120892,   28072,-53426
1394,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-05-12,3272,35194,   -2792,    2389,92820,      17,-31922
1395,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-05-05,6064,32805,    4008,     324,92803,    4480,-26741
1396,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-04-28,2056,32481,   -1816,  -10714,88323,   -5036,-30425
1397,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-04-21,3872,43195,      46,    2105,93359,    3601,-39323
1398,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-04-14,3826,41090,    -229,  -18890,89758,  -28914,-37264
1399,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-04-07,4055,59980,     -35,   13092,118672,   19027,-55925
1400,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-03-31,4090,46888,    -249,   10444,99645,   17657,-42798
1401,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-03-24,4339,36444,    -598,   10391,81988,   13066,-32105
1402,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-03-17,4937,26053,     549,    7548,68922,  -38214,-21116
1403,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-03-10,4388,18505,   -2702,    2476,107136,    9968,-14117
1404,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-03-03,7090,16029,   -1335,   -1644,97168,   -1037,-8939
1405,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-02-24,8425,17673,    -905,    1720,98205,   -6005,-9248
1406,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-02-17,9330,15953,   -9346,   -3600,104210,    -118,-6623
1407,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-02-10,18676,19553,   12120,  -11275,104328,    5727,-877
1408,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-02-03,6556,30828,     305,    1947,98601,    7232,-24272
1409,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-01-27,6251,28881,    2776,   -4855,91369,     330,-22630
1410,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-01-20,3475,33736,     590,   -6761,91039,   -6461,-30261
1411,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-01-13,2885,40497,    -844,   -5285,97500,   -2638,-37612
1412,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1998-01-06,3729,45782,     115,    8210,100138,   12838,-42053
1413,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-12-30,3614,37572,     110,   -1339,87300,   -1839,-33958
1414,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-12-23,3504,38911,    -823,   -8502,89139,  -10852,-35407
1415,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-12-19,3775,39933,    -552,   -7480,91440,   -8551,-36158
1416,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-12-16,4327,47413,   -2496,   -3010,99991,  -57459,-43086
1417,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-12-09,6823,50423,    3093,    3545,157450,   13984,-43600
1418,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-12-02,3730,46878,   -2428,     513,143466,    9854,-43148
1419,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-11-25,6158,46365,   -2757,     -72,133612,   -5041,-40207
1420,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-11-18,8915,46437,   -2437,     950,138653,    3704,-37522
1421,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-11-11,11352,45487,    1387,   14680,134949,   26143,-34135
1422,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-11-04,9965,30807,   -2710,    1877,108806,    3155,-20842
1423,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-10-28,12675,28930,   -2309,    3039,105651,   17668,-16255
1424,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-10-21,14984,25891,    6012,   -1850,87983,    3139,-10907
1425,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-10-14,8972,27741,    4599,   -9634,84844,   -3336,-18769
1426,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-10-07,4373,37375,    -472,    6397,88180,   10600,-33002
1427,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-09-30,4845,30978,    1252,    2230,77580,     740,-26133
1428,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-09-23,3593,28748,     723,    2657,76840,    5364,-25155
1429,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-09-16,2870,26091,   -2576,     242,71476,  -54345,-23221
1430,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-09-09,5446,25849,   -1096,  -10007,125821,   15668,-20403
1431,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-09-02,6542,35856,    2790,    9356,110153,   27222,-29314
1432,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-08-26,3752,26500,     970,   -3012,82931,    1662,-22748
1433,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-08-19,2782,29512,     306,    2711,81269,    7913,-26730
1434,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-08-12,2476,26801,    -188,   -5189,73356,   -8674,-24325
1435,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-08-05,2664,31990,   -2591,    4648,82030,    2497,-29326
1436,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-07-29,5255,27342,   -6124,   13346,79533,   19479,-22087
1437,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-07-22,11379,13996,   -1228,    -205,60054,    1593,-2617
1438,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-07-15,12607,14201,   -5911,    3874,58461,   -1729,-1594
1439,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-07-08,18518,10327,    4687,   -1036,60190,   10447,8191
1440,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-07-01,13831,11363,    1258,     -72,49743,   -3116,2468
1441,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-06-24,12573,11435,   -1378,    1945,52859,    1878,1138
1442,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-06-17,13951,9490,   -6109,    -265,50981,  -49997,4461
1443,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-06-10,20060,9755,   -1855,   -1321,100978,   16869,10305
1444,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-06-03,21915,11076,     694,    -198,84109,   -1005,10839
1445,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-05-27,21221,11274,   -3886,    -253,85114,   -9209,9947
1446,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-05-20,25107,11527,    5236,   -1373,94323,   12649,13580
1447,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-05-13,19871,12900,   16241,  -20535,81674,    -463,6971
1448,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-05-06,3630,33435,    1966,   -4092,82137,   -5116,-29805
1449,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-04-29,1664,37527,    -277,    1992,87253,    4717,-35863
1450,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-04-22,1941,35535,      66,      46,82536,   -1618,-33594
1451,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-04-15,1875,35489,    -740,    2234,84154,    4464,-33614
1452,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-04-08,2615,33255,     -84,    6823,79690,   11020,-30640
1453,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-04-01,2699,26432,      84,   -3210,68670,     808,-23733
1454,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-03-25,2615,29642,     569,    1926,67862,    5891,-27027
1455,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-03-18,2046,27716,    -340,    1103,61971,  -26192,-25670
1456,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-03-11,2386,26613,       6,    -852,88163,    9344,-24227
1457,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-03-04,2380,27465,    -496,   -2662,78819,   -1571,-25085
1458,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-02-25,2876,30127,    1797,   -4100,80390,   -1647,-27251
1459,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-02-18,1079,34227,     156,   -1405,82037,   -1813,-33148
1460,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-02-11,923,35632,   -2171,    -265,83850,    3976,-34709
1461,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-02-04,3094,35897,    1386,     963,79874,    4052,-32803
1462,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-01-28,1708,34934,     908,    1749,75822,     382,-33226
1463,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-01-21,800,33185,       9,    -213,75440,    2483,-32385
1464,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-01-14,791,33398,     554,    1857,72957,    1840,-32607
1465,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1997-01-07,237,31541,   -1546,    3283,71117,   11336,-31304
1466,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-12-31,1783,28258,     895,    2270,59781,    5135,-26475
1467,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-12-24,888,25988,    -414,     978,54646,     414,-25100
1468,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-12-17,1302,25010,      78,    1042,54232,  -22347,-23708
1469,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-12-10,1224,23968,     376,   -1470,76579,     350,-22744
1470,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-12-03,848,25438,   -1562,    4025,76229,    8817,-24590
1471,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-11-26,2410,21413,      79,     389,67412,   -3672,-19003
1472,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-11-19,2331,21024,    1282,   -1202,71084,    -389,-18693
1473,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-11-12,1049,22226,    -149,   -8494,71473,   -4265,-21177
1474,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-11-05,1198,30720,     -74,   -2103,75738,   -6527,-29522
1475,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-10-29,1272,32823,    1022,    2538,82265,    7792,-31551
1476,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-10-22,250,30285,    -715,   -1482,74473,   -1803,-30035
1477,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-10-15,965,31767,    -475,    -973,76276,    -502,-30802
1478,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-10-08,1440,32740,   -2216,   -3514,76778,   -1764,-31300
1479,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-10-01,3656,36254,     156,    2421,78542,    6239,-32598
1480,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-09-24,3500,33833,    1226,   -6125,72303,   -6652,-30333
1481,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-09-17,2274,39958,   -3049,    3112,78955,  -23634,-37684
1482,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-09-10,5323,36846,    -639,   12390,102589,   16303,-31523
1483,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-09-03,5962,24456,     267,    1636,86286,    8234,-18494
1484,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-08-27,5695,22820,   -1530,    2700,78052,    6351,-17125
1485,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-08-20,7225,20120,     455,    1214,71701,    3257,-12895
1486,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-08-13,6770,18906,   -2111,     727,68444,   -2845,-12136
1487,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-08-06,8881,18179,    6224,   -8846,71289,    -752,-9298
1488,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-07-30,2657,27025,     -34,     653,72041,    -166,-24368
1489,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-07-23,2691,26372,     683,   -5982,72207,   -7699,-23681
1490,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-07-16,2008,32354,    -104,   -4009,79906,   -2914,-30346
1491,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-07-09,2112,36363,     653,     716,82820,     793,-34251
1492,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-07-02,1459,35647,     140,    6272,82027,   10829,-34188
1493,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-06-25,1319,29375,     519,    -610,71198,     605,-28056
1494,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-06-18,800,29985,   -1209,   -2772,70593,  -28167,-29185
1495,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-06-11,2009,32757,     478,    1144,98760,    8487,-30748
1496,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-06-04,1531,31613,   -2205,    4006,90273,    5661,-30082
1497,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-05-28,3736,27607,    -599,    7766,84612,    9158,-23871
1498,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-05-21,4335,19841,   -3213,    2269,75454,    6469,-15506
1499,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-05-14,7548,17572,   -1966,    -453,68985,    -250,-10024
1500,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-05-07,9514,18025,     790,     114,69235,     745,-8511
1501,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-04-30,8724,17911,    6064,   -6675,68490,   -2142,-9187
1502,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-04-23,2660,24586,    -111,  -10759,70632,   -9997,-21926
1503,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-04-16,2771,35345,     700,   -2421,80629,   -3344,-32574
1504,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-04-09,2071,37766,    1031,    2826,83973,    6029,-35695
1505,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-04-02,1040,34940,     779,    5015,77944,    9844,-33900
1506,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-03-26,261,29925,    -252,    5054,68100,    9254,-29664
1507,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-03-19,513,24871,   -1182,    3464,58846,  -15395,-24358
1508,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-03-12,1695,21407,    -290,    -423,74241,    4042,-19712
1509,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-03-05,1985,21830,   -1929,   -2753,70199,   -3557,-19845
1510,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-02-27,3914,24583,    1936,   -6020,73756,   -5870,-20669
1511,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-02-20,1978,30603,     686,   -1267,79626,   -1820,-28625
1512,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-02-13,1292,31870,     685,     328,81446,    5058,-30578
1513,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-02-06,607,31542,    -478,   -6578,76388,   -8329,-30935
1514,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-01-30,1085,38120,    -257,     980,84717,    4261,-37035
1515,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-01-23,1342,37140,      68,   -1122,80456,   -3828,-35798
1516,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-01-16,1274,38262,    -304,    3428,84284,    6057,-36988
1517,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-01-09,1578,34834,     250,    1207,78227,    6337,-33256
1518,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1996-01-02,1328,33627,     552,    4777,71890,    8677,-32299
1519,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-12-26,776,28850,     103,    5133,63213,    7487,-28074
1520,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-12-19,673,23717,   -3123,     647,55726,  -22730,-23044
1521,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-12-12,3796,23070,     598,    1108,78456,    7464,-19274
1522,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-12-05,3198,21962,    -231,    -599,70992,   -1469,-18764
1523,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-11-28,3429,22561,     -61,   -1593,72461,    -501,-19132
1524,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-11-21,3490,24154,    3007,     622,72962,    1837,-20664
1525,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-11-14,483,23532,    -350,   -2364,71125,   -5719,-23049
1526,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-11-07,833,25896,      21,    2872,76844,    5723,-25063
1527,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-10-31,812,23024,    -655,    1510,71121,    4619,-22212
1528,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-10-24,1467,21514,    -227,   -1344,66502,    1172,-20047
1529,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-10-17,1694,22858,     366,     747,65330,   -1730,-21164
1530,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-10-10,1328,22111,    -203,    -381,67060,     134,-20783
1531,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-10-03,1531,22492,      22,     772,66926,    2075,-20961
1532,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-09-26,1509,21720,   -1317,     484,64851,   -1395,-20211
1533,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-09-19,2826,21236,    -483,    -512,66246,  -18516,-18410
1534,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-09-12,3309,21748,    -672,    2425,84762,   14864,-18439
1535,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-09-05,3981,19323,   -1157,      51,69898,    -519,-15342
1536,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-08-29,5138,19272,     -86,   -1501,70417,    3859,-14134
1537,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-08-22,5224,20773,    2444,    1275,66558,    4197,-15549
1538,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-08-15,2780,19498,   -1147,     987,62361,    1979,-16718
1539,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-08-08,3927,18511,    1054,    2679,60382,    7992,-14584
1540,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-08-01,2873,15832,     386,    -321,52390,    -627,-12959
1541,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-07-25,2487,16153,   -1279,     129,53017,    1180,-13666
1542,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-07-18,3766,16024,      -8,    1324,51837,    3984,-12258
1543,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-07-11,3774,14700,    1541,    3421,47853,    8872,-10926
1544,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-07-03,2233,11279,   -1472,    3698,38981,    3133,-9046
1545,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-06-27,3705,7581,     595,   -1046,35848,     660,-3876
1546,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-06-20,3110,8627,   -1656,    -959,35188,  -35704,-5517
1547,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-06-13,4766,9586,   -1944,    -898,70892,    2818,-4820
1548,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-06-06,6710,10484,       5,    1400,68074,   -1629,-3774
1549,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-05-30,6705,9084,    1695,   -3610,69703,    2582,-2379
1550,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-05-23,5010,12694,   -1314,    2431,67121,   -1604,-7684
1551,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-05-16,6324,10263,   -2771,    1936,68725,   -1439,-3939
1552,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-05-09,9095,8327,    -359,    2546,70164,    6329,768
1553,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-05-02,9454,5781,     -23,    1109,63835,    -197,3673
1554,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-04-25,9477,4672,   -2819,   -2474,64032,   -1232,4805
1555,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-04-18,12296,7146,    1789,    1406,65264,    2273,5150
1556,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-04-11,10507,5740,   -3574,   -2714,62991,    1793,4767
1557,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-04-04,14081,8454,    -509,   -1139,61198,    2391,5627
1558,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-03-28,14590,9593,   -2008,     271,58807,    -598,4997
1559,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-03-21,16598,9322,    1617,    -494,59405,  -37650,7276
1560,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-03-14,14981,9816,    -327,   -3296,97055,  -13525,5165
1561,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-03-07,15308,13112,    5433,    2367,110580,   16124,2196
1562,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-02-28,9875,10745,    3758,     820,94456,    4267,-870
1563,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-02-21,6117,9925,    4271,  -15584,90189,    6397,-3808
1564,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-02-14,1846,25509,     202,   -3645,83792,   -1108,-23663
1565,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-02-07,1644,29154,    -549,     722,84900,    -372,-27510
1566,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-01-31,2193,28432,     251,    1596,85272,    1840,-26239
1567,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-01-24,1942,26836,    -341,     372,83432,   -2702,-24894
1568,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-01-17,2283,26464,    1515,  -14604,86134,   -5747,-24181
1569,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-01-10,768,41068,     174,    6750,91881,   12819,-40300
1570,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1995-01-03,594,34318,   -1939,    1136,79062,    3638,-33724
1571,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-12-27,2533,33182,     689,     838,75424,  -24197,-30649
1572,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-12-20,1844,32344,   -1030,   -8068,99621,   -4857,-30500
1573,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-12-13,2874,40412,    -814,    1000,104478,    2774,-37538
1574,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-12-06,3688,39412,   -1310,    9137,101704,   12774,-35724
1575,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-11-29,4998,30275,     323,    1795,88930,    1971,-25277
1576,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-11-22,4675,28480,    -756,    5635,86959,    6330,-23805
1577,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-11-15,5431,22845,   -1826,    5323,80629,    5605,-17414
1578,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-11-08,7257,17522,    -697,    4459,75024,    4647,-10265
1579,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-11-01,7954,13063,    -684,     996,70377,    1910,-5109
1580,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-10-25,8638,12067,    3066,   -1060,68467,    5444,-3429
1581,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-10-18,5572,13127,    2432,   -3432,63023,    -701,-7555
1582,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-10-11,3140,16559,      24,    5904,63724,   11388,-13419
1583,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-10-04,3116,10655,   -1552,    3391,52336,    4176,-7539
1584,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-09-27,4668,7264,   -1930,    -786,48160,  -24815,-2596
1585,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-09-20,6598,8050,    4344,   -4300,72975,    2949,-1452
1586,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-09-13,2254,12350,   -1319,   -1822,70026,   -2513,-10096
1587,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-09-06,3573,14172,    -761,   -1388,72539,     449,-10599
1588,JAPANESE YEN - INTERNATIONAL MONETARY MARKET,1994-08-30,4334,15560,   -2032,     511,72090,   -2257,-11226
